,name,ID,ALIGN,EYE,HAIR,SEX,ALIVE
53,Daniel Rand (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
54,Nathan Summers (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Living Characters
55,Elizabeth Brant (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
56,Richard Jones (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
57,Edwin Jarvis (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters
58,Alexander Summers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
59,Patricia Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters
60,Human Torch (Android) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
61,Loki Laufeyson (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Living Characters
62,Franklin Nelson (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,Living Characters
63,Brian Braddock (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
64,Otto Octavius (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Deceased Characters
65,James Rhodes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
66,Timothy Dugan (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters
67,Crystalia Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Living Characters
68,Samuel Wilson (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
69,Wilson Fisk (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters
70,Odin Borson (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Living Characters
71,Deadpool (Wade Wilson),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters
72,Dane Whitman (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
73,Harold Osborn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters
74,Franklin Richards (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
75,Jessica Drew (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters
76,Roberto da Costa (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
77,Rahne Sinclair (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters
78,Elizabeth Ross (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
79,Lorna Dane (Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Living Characters
80,Blaine Colt (Earth-616),Public Identity,,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
81,Johnathon Blaze (Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,Living Characters
82,Sif (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
83,Red Hulk (Thaddeus Ross),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
84,Jubilation Lee (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
85,Volstagg (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters
86,Balder Odinson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
87,Galactus (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,Living Characters
88,Danielle Moonstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
89,Marc Spector (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
90,Gwendolyne Stacy (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters
91,Medusalith Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters
92,Sabretooth (Victor Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,Living Characters
93,Illyana Rasputina (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
94,Johann Shmidt (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
95,Fandral (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
96,Sean Cassidy (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Living Characters
97,Thomas Raymond (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
98,Uatu (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters
99,Richard Rider (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
100,Hogun (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters
101,Raven Darkholme (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Living Characters
102,Barbara Morse (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
103,Blackagar Boltagon (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
104,Brunnhilde (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
105,Alison Blaire (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters
106,Venom (Symbiote) (Earth-616),Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,Living Characters
107,John Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
108,Greer Grant (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters
109,Karla Sofen (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
110,William Baker (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
111,Sharon Carter (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
112,Felicia Hardy (Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,Living Characters
113,Cain Marko (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters
114,Monica Rambeau (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
115,Maria Hill (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
116,Ben Urich (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
117,Heather Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Living Characters
118,Millicent Collins (Earth-616),Public Identity,,Blue Eyes,Blond Hair,Female Characters,Living Characters
119,James Proudstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
120,Angelica Jones (Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters
121,Edward Brock (Earth-616),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,Living Characters
122,MacDonald Gargan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters
123,Mephisto (Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Living Characters
124,Tabitha Smith (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
125,Jean-Paul Beaubier (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
126,Daniel Ketch (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Living Characters
127,Neena Thurman (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
128,Wong (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters
129,Thanos (Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters
130,Shang-Chi (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
131,Alicia Masters (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,Living Characters
132,Robert Baldwin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
133,Vance Astrovik (Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters
134,Wendell Vaughn (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
135,Chili Storm (Earth-616),Public Identity,,Green Eyes,Red Hair,Female Characters,Living Characters
136,Abner Jenkins (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
137,Elektra Natchios (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
138,Bullseye (Lester) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
139,Forge (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
140,Virginia Potts (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters
141,Walter Langkowski (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
142,Gorgon (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
143,James Madrox (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
144,Heimdall (Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,Living Characters
145,Theresa Cassidy (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters
146,Laura Kinney (Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters
147,Arthur Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters
148,Peter Parker (Ben Reilly) (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,Deceased Characters
149,Warlock (Technarch) (Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,Living Characters
150,Kevin Plunder (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
151,Leonard Samson (Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,Deceased Characters
152,Melissa Gold (Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Living Characters
153,Lockheed (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,Living Characters
154,Mercedes Knight (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
155,Moira Kinross (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Deceased Characters
156,Karnak (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters
157,Namorita Prentiss (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters
158,Lockjaw (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
159,Adam Warlock (Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,Living Characters
160,Heather McNeil (Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Living Characters
161,Curtis Connors (Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,Living Characters
162,Theodore Sallis (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,Living Characters
163,Adrian Toomes (Earth-616),Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,Living Characters
164,Amora (Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,Living Characters
165,Clea (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters
166,Mar-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
167,Eugene Judd (Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters
168,Daimon Hellstrom (Earth-616),No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,Living Characters
169,John Jonah Jameson III (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Living Characters
170,Triton (Earth-616),No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,Living Characters
171,Meggan Puceanu (Earth-616),Secret Identity,Good Characters,,,Female Characters,Living Characters
172,Robert Reynolds (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
173,Aleksei Sytsevich (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
174,Santo Vaccarro (Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,Living Characters
175,Jonathan Clay (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters
176,Ares (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
177,Sersi (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
178,Guido Carosella (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters
179,Zabu (Earth-616),Public Identity,Good Characters,Green Eyes,Orange Hair,Male Characters,Living Characters
180,Michael Morbius (Earth-616),Secret Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,Living Characters
181,Julio Richter (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
182,Phoenix Force (Earth-616),Secret Identity,Neutral Characters,,No Hair,,Deceased Characters
183,Megan Gwynn (Earth-616),Public Identity,Good Characters,Black Eyeballs,Pink Hair,Female Characters,Living Characters
184,Kyle Richmond (Earth-616),Secret Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Living Characters
185,Karen Page (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters
186,Tyrone Johnson (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
187,Maxwell Dillon (Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Living Characters
188,Valerie Cooper (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
189,Anna May (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters
190,Vlad Dracula (Earth-616),No Dual Identity,Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters
191,Tandy Bowen (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
192,Monet St. Croix (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters
193,Gamora (Earth-616),No Dual Identity,Neutral Characters,Yellow Eyes,Black Hair,Female Characters,Living Characters
194,Amara Aquilla (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
195,Julia Carpenter (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters
196,Jane Foster (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters
197,Mortimer Toynbee (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,Living Characters
198,Scott Lang (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters
199,Paige Guthrie (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
200,Benjamin Parker (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
201,Erik Josten (Earth-616),Secret Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,Living Characters
202,Jeanne-Marie Beaubier (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
203,Carl Creel (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters
204,Gloria Grant (Earth-616),No Dual Identity,,Brown Eyes,Black Hair,Female Characters,Living Characters
205,Michael Twoyoungmen (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
206,Hope Summers (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters
207,Eric Masterson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
208,Alexander Power (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
209,Matthew Hawk (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
210,Jessica Jones (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters
211,Frederick Dukes (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
212,Eric Brooks (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
213,Eros (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters
214,Madison Jeffries (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
215,Mandarin (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters
216,The Wizard (Earth-616),Public Identity,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters
217,Akihiro (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
218,Sergei Kravinoff (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters
219,Jonothon Starsmore (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
220,Helmut Zemo (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
221,Victor Borkowski (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters
222,Edward Leeds (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
223,Ultron (Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Deceased Characters
224,Douglas Ramsey (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
225,Quentin Beck (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters
226,Herbert Wyndham (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
227,Julian Keller (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
228,Jack Russell (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters
229,Celeste Cuckoo (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
230,Valentina Allegra de Fontaine (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
231,Ophelia Sarkissian (Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Living Characters
232,Colleen Wing (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,Living Characters
233,Irma Cuckoo (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
234,Sebastian Shaw (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters
235,Phoebe Cuckoo (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
236,Sage (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters
237,Valeria Richards (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters
238,Donald Blake (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters
239,Hela (Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters
240,Lilandra Neramani (Earth-616),No Dual Identity,Good Characters,Orange Eyes,Black Hair,Female Characters,Deceased Characters
241,Henry Gyrich (Earth-616),No Dual Identity,Bad Characters,Green Eyes,Red Hair,Male Characters,Living Characters
242,Dwayne Taylor (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters
243,Harold Hogan (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
244,Redwing (Earth-616),Public Identity,,Yellow Eyes,,Male Characters,Living Characters
245,Christopher Powell (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters
246,Harvey Elder (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters
247,Wolfgang von Strucker (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters
