,Unnamed: 0,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
23,23,1346,Piotr Rasputin (Earth-616),\/Piotr_Rasputin_(Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,1162.0,May-75,1975.0
24,24,2512,Wanda Maximoff (Earth-616),\/Wanda_Maximoff_(Earth-616),Public Identity,0,Green Eyes,Brown Hair,Female Characters,,Living Characters,1161.0,Mar-64,1964.0
25,25,1671,Nicholas Fury (Earth-616),\/Nicholas_Fury_(Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1137.0,May-63,1963.0
26,26,1976,Janet van Dyne (Earth-616),\/Janet_van_Dyne_(Earth-616),Public Identity,0,Blue Eyes,Auburn Hair,Female Characters,,Living Characters,1120.0,Jun-63,1963.0
27,27,65219,Jean Grey (Earth-616),\/Jean_Grey_(Earth-616),Public Identity,0,Green Eyes,Red Hair,Female Characters,,Deceased Characters,1107.0,Sep-63,1963.0
28,28,6545,Natalia Romanova (Earth-616),\/Natalia_Romanova_(Earth-616),Public Identity,0,Green Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,1050.0,Apr-64,1964.0
29,29,2223,Kurt Wagner (Earth-616),\/Kurt_Wagner_(Earth-616),Secret Identity,0,Yellow Eyes,Blue Hair,Male Characters,,Living Characters,1047.0,May-75,1975.0
30,30,2414,Vision (Earth-616),\/Vision_(Earth-616),Secret Identity,0,Gold Eyes,No Hair,Male Characters,,Living Characters,1007.0,Oct-68,1968.0
31,31,8650,May Reilly (Earth-616),\/May_Reilly_(Earth-616),No Dual Identity,0,Blue Eyes,Grey Hair,Female Characters,,Living Characters,1000.0,Aug-62,1962.0
32,32,2527,Katherine Pryde (Earth-616),\/Katherine_Pryde_(Earth-616),Secret Identity,0,Hazel Eyes,Brown Hair,Female Characters,,Living Characters,886.0,Jan-80,1980.0
33,33,1970,Carol Danvers (Earth-616),\/Carol_Danvers_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,881.0,Mar-68,1968.0
34,34,37690,Jennifer Walters (Earth-616),\/Jennifer_Walters_(Earth-616),Public Identity,0,Green Eyes,Brown Hair,Female Characters,,Living Characters,881.0,Feb-80,1980.0
35,35,3765,Emma Frost (Earth-616),\/Emma_Frost_(Earth-616),Public Identity,0,Blue Eyes,Brown Hair,Female Characters,,Living Characters,880.0,Jan-80,1980.0
36,36,2312,Frank Castle (Earth-616),\/Frank_Castle_(Earth-616),Public Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,878.0,Feb-74,1974.0
37,37,1265,Luke Cage (Earth-616),\/Luke_Cage_(Earth-616),No Dual Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,856.0,Jun-72,1972.0
39,39,25222,Conan (Earth-616),\/Conan_(Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,787.0,Oct-70,1970.0
40,40,6537,Joseph Robertson (Earth-616),\/Joseph_Robertson_(Earth-616),No Dual Identity,0,Brown Eyes,White Hair,Male Characters,,Living Characters,752.0,Aug-67,1967.0
41,41,1592,Pietro Maximoff (Earth-616),\/Pietro_Maximoff_(Earth-616),Public Identity,0,Blue Eyes,Silver Hair,Male Characters,,Living Characters,740.0,Mar-64,1964.0
42,42,1818,Hercules (Earth-616),\/Hercules_(Earth-616),No Dual Identity,0,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725.0,Oct-65,1965.0
43,43,1448,Victor von Doom (Earth-616),\/Victor_von_Doom_(Earth-616),Public Identity,1,Brown Eyes,Brown Hair,Male Characters,,Living Characters,721.0,Jul-62,1962.0
44,44,2081,Max Eisenhardt (Earth-616),\/Max_Eisenhardt_(Earth-616),Public Identity,0,Grey Eyes,Bald,Male Characters,,Living Characters,709.0,Sep-63,1963.0
45,45,2307,Elizabeth Braddock (Earth-616),\/Elizabeth_Braddock_(Earth-616),Secret Identity,0,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,Living Characters,708.0,Dec-76,1976.0
46,46,2556,Norrin Radd (Earth-616),\/Norrin_Radd_(Earth-616),Public Identity,0,Blue Eyes,Bald,Male Characters,,Living Characters,696.0,Mar-66,1966.0
47,47,1740,Norman Osborn (Earth-616),\/Norman_Osborn_(Earth-616),Public Identity,1,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,692.0,Jul-64,1964.0
48,48,8651,Eugene Thompson (Earth-616),\/Eugene_Thompson_(Earth-616),Secret Identity,0,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,689.0,Aug-62,1962.0
49,49,2009,Simon Williams (Earth-616),\/Simon_Williams_(Earth-616),Public Identity,0,Red Eyes,Grey Hair,Male Characters,,Living Characters,686.0,Oct-64,1964.0
50,50,1276,Samuel Guthrie (Earth-616),\/Samuel_Guthrie_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,657.0,Nov-82,1982.0
51,51,15823,James Buchanan Barnes (Earth-616),\/James_Buchanan_Barnes_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,641.0,Mar-41,1941.0
52,52,1680,Remy LeBeau (Earth-616),\/Remy_LeBeau_(Earth-616),Secret Identity,0,Black Eyeballs,Brown Hair,Male Characters,,Living Characters,636.0,Jul-90,1990.0
53,53,1866,Daniel Rand (Earth-616),\/Daniel_Rand_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,618.0,May-74,1974.0
54,54,32498,Nathan Summers (Earth-616),\/Nathan_Summers_(Earth-616),Public Identity,0,Blue Eyes,White Hair,Male Characters,,Living Characters,612.0,Jan-86,1986.0
55,55,1772,Elizabeth Brant (Earth-616),\/Elizabeth_Brant_(Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Female Characters,,Living Characters,599.0,Sep-63,1963.0
56,56,1896,Richard Jones (Earth-616),\/Richard_Jones_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,590.0,May-62,1962.0
57,57,1496,Edwin Jarvis (Earth-616),\/Edwin_Jarvis_(Earth-616),No Dual Identity,0,Blue Eyes,White Hair,Male Characters,,Living Characters,567.0,Nov-64,1964.0
58,58,1802,Alexander Summers (Earth-616),\/Alexander_Summers_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,558.0,Mar-69,1969.0
59,59,1811,Patricia Walker (Earth-616),\/Patricia_Walker_(Earth-616),Secret Identity,0,Blue Eyes,Red Hair,Female Characters,,Living Characters,550.0,Nov-44,1944.0
60,60,1836,Human Torch (Android) (Earth-616),\/Human_Torch_(Android)_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,548.0,Oct-39,1939.0
61,61,2042,Loki Laufeyson (Earth-616),\/Loki_Laufeyson_(Earth-616),No Dual Identity,0,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532.0,Aug-49,1949.0
62,62,1643,Franklin Nelson (Earth-616),\/Franklin_Nelson_(Earth-616),No Dual Identity,0,Blue Eyes,Bald,Male Characters,,Living Characters,528.0,Apr-64,1964.0
63,63,1285,Brian Braddock (Earth-616),\/Brian_Braddock_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,528.0,Oct-76,1976.0
64,64,1453,Otto Octavius (Earth-616),\/Otto_Octavius_(Earth-616),Secret Identity,0,Hazel Eyes,Brown Hair,Male Characters,,Deceased Characters,526.0,Jul-63,1963.0
65,65,6194,James Rhodes (Earth-616),\/James_Rhodes_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,525.0,Jan-79,1979.0
66,66,1487,Timothy Dugan (Earth-616),\/Timothy_Dugan_(Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,517.0,May-63,1963.0
67,67,1380,Crystalia Amaquelin (Earth-616),\/Crystalia_Amaquelin_(Earth-616),Public Identity,0,Green Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,512.0,Dec-65,1965.0
68,68,1613,Samuel Wilson (Earth-616),\/Samuel_Wilson_(Earth-616),Public Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,512.0,Sep-69,1969.0
69,69,1931,Wilson Fisk (Earth-616),\/Wilson_Fisk_(Earth-616),Public Identity,1,Blue Eyes,Bald,Male Characters,,Living Characters,503.0,Jul-67,1967.0
70,70,1596,Odin Borson (Earth-616),\/Odin_Borson_(Earth-616),Public Identity,0,Blue Eyes,White Hair,Male Characters,,Living Characters,502.0,Oct-62,1962.0
71,71,1409,Deadpool (Wade Wilson),\/Deadpool_(Wade_Wilson),Secret Identity,0,Brown Eyes,Bald,Male Characters,Transvestites,Living Characters,500.0,Feb-91,1991.0
72,72,1187,Dane Whitman (Earth-616),\/Dane_Whitman_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,478.0,Dec-67,1967.0
73,73,1741,Harold Osborn (Earth-616),\/Harold_Osborn_(Earth-616),No Dual Identity,0,Blue Eyes,Brown Hair,Male Characters,,Living Characters,474.0,Dec-65,1965.0
74,74,68416,Franklin Richards (Earth-616),\/Franklin_Richards_(Earth-616),No Dual Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,473.0,Nov-68,1968.0
75,75,2589,Jessica Drew (Earth-616),\/Jessica_Drew_(Earth-616),Secret Identity,0,Green Eyes,Auburn Hair,Female Characters,,Living Characters,471.0,Feb-77,1977.0
76,76,2626,Roberto da Costa (Earth-616),\/Roberto_da_Costa_(Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,464.0,Nov-82,1982.0
77,77,2007,Rahne Sinclair (Earth-616),\/Rahne_Sinclair_(Earth-616),Secret Identity,0,Green Eyes,Red Hair,Female Characters,,Living Characters,448.0,Nov-82,1982.0
78,78,1130,Elizabeth Ross (Earth-616),\/Elizabeth_Ross_(Earth-616),Public Identity,0,Blue Eyes,Black Hair,Female Characters,,Living Characters,446.0,May-62,1962.0
79,79,2278,Lorna Dane (Earth-616),\/Lorna_Dane_(Earth-616),Secret Identity,0,Green Eyes,Green Hair,Female Characters,,Living Characters,433.0,Oct-68,1968.0
80,81,1705,Johnathon Blaze (Earth-616),\/Johnathon_Blaze_(Earth-616),Secret Identity,0,Blue Eyes,Reddish Blond Hair,Male Characters,,Living Characters,426.0,Aug-72,1972.0
81,82,2550,Sif (Earth-616),\/Sif_(Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Female Characters,,Living Characters,422.0,Mar-64,1964.0
82,83,2365,Red Hulk (Thaddeus Ross),\/Red_Hulk_(Thaddeus_Ross),Public Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,415.0,May-62,1962.0
83,84,1900,Jubilation Lee (Earth-616),\/Jubilation_Lee_(Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Female Characters,,Living Characters,408.0,May-89,1989.0
84,85,2420,Volstagg (Earth-616),\/Volstagg_(Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,,Living Characters,406.0,Aug-65,1965.0
85,86,1127,Balder Odinson (Earth-616),\/Balder_Odinson_(Earth-616),Secret Identity,0,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,403.0,Oct-62,1962.0
86,87,1676,Galactus (Earth-616),\/Galactus_(Earth-616),Secret Identity,0,Brown Eyes,No Hair,Male Characters,,Living Characters,390.0,Mar-66,1966.0
87,88,1395,Danielle Moonstar (Earth-616),\/Danielle_Moonstar_(Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Female Characters,,Living Characters,388.0,Nov-82,1982.0
88,89,2183,Marc Spector (Earth-616),\/Marc_Spector_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,387.0,Aug-75,1975.0
89,90,1782,Gwendolyne Stacy (Earth-616),\/Gwendolyne_Stacy_(Earth-616),No Dual Identity,0,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,384.0,Dec-65,1965.0
90,91,2137,Medusalith Amaquelin (Earth-616),\/Medusalith_Amaquelin_(Earth-616),Public Identity,0,Green Eyes,Red Hair,Female Characters,,Living Characters,382.0,Mar-65,1965.0
91,92,2374,Sabretooth (Victor Creed),\/Sabretooth_(Victor_Creed),Secret Identity,1,Amber Eyes,Blond Hair,Male Characters,,Living Characters,382.0,Aug-77,1977.0
92,93,2077,Illyana Rasputina (Earth-616),\/Illyana_Rasputina_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,380.0,May-75,1975.0
93,94,2344,Johann Shmidt (Earth-616),\/Johann_Shmidt_(Earth-616),Public Identity,1,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,376.0,Aug-41,1941.0
94,95,1616,Fandral (Earth-616),\/Fandral_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,375.0,Aug-65,1965.0
95,96,1131,Sean Cassidy (Earth-616),\/Sean_Cassidy_(Earth-616),Secret Identity,0,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,374.0,Jan-67,1967.0
96,97,2487,Thomas Raymond (Earth-616),\/Thomas_Raymond_(Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,373.0,Sep-40,1940.0
97,98,1572,Uatu (Earth-616),\/Uatu_(Earth-616),Public Identity,0,Blue Eyes,Bald,Male Characters,,Deceased Characters,373.0,Apr-63,1963.0
98,99,2239,Richard Rider (Earth-616),\/Richard_Rider_(Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,373.0,Sep-76,1976.0
99,100,1827,Hogun (Earth-616),\/Hogun_(Earth-616),Public Identity,0,Grey Eyes,Black Hair,Male Characters,,Living Characters,371.0,Aug-65,1965.0
100,101,55878,Raven Darkholme (Earth-616),\/Raven_Darkholme_(Earth-616),Secret Identity,1,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371.0,Apr-78,1978.0
101,102,2173,Barbara Morse (Earth-616),\/Barbara_Morse_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,368.0,Jun-71,1971.0
102,103,1179,Blackagar Boltagon (Earth-616),\/Blackagar_Boltagon_(Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,366.0,Dec-65,1965.0
103,104,2392,Brunnhilde (Earth-616),\/Brunnhilde_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,361.0,Dec-70,1970.0
104,105,1404,Alison Blaire (Earth-616),\/Alison_Blaire_(Earth-616),Public Identity,0,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,353.0,Feb-80,1980.0
105,106,18186,Venom (Symbiote) (Earth-616),\/Venom_(Symbiote)_(Earth-616),Known to Authorities Identity,0,Variable Eyes,No Hair,Agender Characters,,Living Characters,348.0,May-84,1984.0
106,107,1586,John Walker (Earth-616),\/John_Walker_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,346.0,Nov-86,1986.0
107,108,2440,Greer Grant (Earth-616),\/Greer_Grant_(Earth-616),Public Identity,0,Green Eyes,Black Hair,Female Characters,,Living Characters,342.0,Nov-72,1972.0
108,109,2185,Karla Sofen (Earth-616),\/Karla_Sofen_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,340.0,Dec-75,1975.0
109,110,2382,William Baker (Earth-616),\/William_Baker_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,338.0,Sep-63,1963.0
110,111,1300,Sharon Carter (Earth-616),\/Sharon_Carter_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,332.0,Mar-66,1966.0
111,112,1180,Felicia Hardy (Earth-616),\/Felicia_Hardy_(Earth-616),Public Identity,1,,Blond Hair,Female Characters,,Living Characters,332.0,Jul-79,1979.0
112,113,1901,Cain Marko (Earth-616),\/Cain_Marko_(Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,,Living Characters,329.0,Jul-65,1965.0
114,115,20978,Maria Hill (Earth-616),\/Maria_Hill_(Earth-616),No Dual Identity,0,Brown Eyes,Black Hair,Female Characters,,Living Characters,325.0,Apr-05,2005.0
115,116,1161,Ben Urich (Earth-616),\/Ben_Urich_(Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,324.0,Jul-78,1978.0
116,117,2182,Heather Douglas (Earth-616),\/Heather_Douglas_(Earth-616),Secret Identity,0,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323.0,Jan-73,1973.0
117,119,1973,James Proudstar (Earth-616),\/James_Proudstar_(Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,320.0,Jun-84,1984.0
118,120,1633,Angelica Jones (Earth-616),\/Angelica_Jones_(Earth-616),Known to Authorities Identity,0,Green Eyes,Red Hair,Female Characters,,Living Characters,319.0,May-85,1985.0
119,121,11857,Edward Brock (Earth-616),\/Edward_Brock_(Earth-616),Public Identity,0,Black Eyes,Blond Hair,Male Characters,,Living Characters,318.0,Sep-86,1986.0
120,122,2513,MacDonald Gargan (Earth-616),\/MacDonald_Gargan_(Earth-616),Secret Identity,1,Brown Eyes,Bald,Male Characters,,Living Characters,317.0,Dec-64,1964.0
121,123,2146,Mephisto (Earth-616),\/Mephisto_(Earth-616),No Dual Identity,1,White Eyes,Black Hair,Male Characters,,Living Characters,316.0,Dec-68,1968.0
122,124,7630,Tabitha Smith (Earth-616),\/Tabitha_Smith_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,316.0,Nov-85,1985.0
123,125,2238,Jean-Paul Beaubier (Earth-616),\/Jean-Paul_Beaubier_(Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313.0,Apr-79,1979.0
124,126,1706,Daniel Ketch (Earth-616),\/Daniel_Ketch_(Earth-616),Secret Identity,0,Green Eyes,Brown Hair,Male Characters,,Living Characters,311.0,May-90,1990.0
125,127,1460,Neena Thurman (Earth-616),\/Neena_Thurman_(Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,,Living Characters,310.0,Mar-92,1992.0
126,128,2010,Wong (Earth-616),\/Wong_(Earth-616),No Dual Identity,0,Brown Eyes,Bald,Male Characters,,Living Characters,306.0,Jul-63,1963.0
127,129,2456,Thanos (Earth-616),\/Thanos_(Earth-616),No Dual Identity,1,Red Eyes,No Hair,Male Characters,,Living Characters,306.0,Feb-73,1973.0
128,130,15282,Shang-Chi (Earth-616),\/Shang-Chi_(Earth-616),No Dual Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,296.0,Dec-73,1973.0
129,131,4704,Alicia Masters (Earth-616),\/Alicia_Masters_(Earth-616),No Dual Identity,0,Brown Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,293.0,Nov-62,1962.0
130,132,5708,Robert Baldwin (Earth-616),\/Robert_Baldwin_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,293.0,Sep-88,1988.0
131,133,1902,Vance Astrovik (Earth-616),\/Vance_Astrovik_(Earth-616),Public Identity,0,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,290.0,Jul-75,1975.0
132,134,6633,Wendell Vaughn (Earth-616),\/Wendell_Vaughn_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,290.0,Jan-78,1978.0
133,136,4565,Abner Jenkins (Earth-616),\/Abner_Jenkins_(Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,284.0,Aug-64,1964.0
134,137,1505,Elektra Natchios (Earth-616),\/Elektra_Natchios_(Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,,Living Characters,280.0,Jan-81,1981.0
135,138,1256,Bullseye (Lester) (Earth-616),\/Bullseye_(Lester)_(Earth-616),Secret Identity,1,Blue Eyes,Blond Hair,Male Characters,,Living Characters,277.0,Mar-76,1976.0
136,139,119507,Forge (Earth-616),\/Forge_(Earth-616),Public Identity,0,Brown Eyes,Black Hair,Male Characters,,Living Characters,276.0,Aug-84,1984.0
137,140,9106,Virginia Potts (Earth-616),\/Virginia_Potts_(Earth-616),No Dual Identity,0,Green Eyes,Red Hair,Female Characters,,Living Characters,274.0,Sep-63,1963.0
138,141,2383,Walter Langkowski (Earth-616),\/Walter_Langkowski_(Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,273.0,Apr-79,1979.0
139,142,1733,Gorgon (Earth-616),\/Gorgon_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,272.0,Nov-65,1965.0
140,143,37689,James Madrox (Earth-616),\/James_Madrox_(Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,271.0,Feb-75,1975.0
141,144,1808,Heimdall (Earth-616),\/Heimdall_(Earth-616),Secret Identity,0,Grey Eyes,Brown Hair,Male Characters,,Living Characters,270.0,Oct-62,1962.0
142,145,2558,Theresa Cassidy (Earth-616),\/Theresa_Cassidy_(Earth-616),Secret Identity,0,Green Eyes,Red Hair,Female Characters,,Living Characters,267.0,Apr-81,1981.0
143,146,1565,Laura Kinney (Earth-616),\/Laura_Kinney_(Earth-616),Secret Identity,0,Green Eyes,Black Hair,Female Characters,,Living Characters,265.0,Feb-04,2004.0
144,147,33447,Arthur Douglas (Earth-616),\/Arthur_Douglas_(Earth-616),Secret Identity,0,Blue Eyes,Brown Hair,Male Characters,,Living Characters,264.0,Feb-73,1973.0
145,148,2511,Peter Parker (Ben Reilly) (Earth-616),\/Peter_Parker_(Ben_Reilly)_(Earth-616),Secret Identity,0,Hazel Eyes,Blond Hair,Male Characters,,Deceased Characters,263.0,Oct-75,1975.0
146,149,1971,Warlock (Technarch) (Earth-616),\/Warlock_(Technarch)_(Earth-616),Secret Identity,0,Black Eyes,No Hair,Male Characters,,Living Characters,261.0,Aug-84,1984.0
147,150,1903,Kevin Plunder (Earth-616),\/Kevin_Plunder_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,260.0,Mar-65,1965.0
148,151,1445,Leonard Samson (Earth-616),\/Leonard_Samson_(Earth-616),Public Identity,0,Brown Eyes,Green Hair,Male Characters,,Deceased Characters,260.0,Jul-71,1971.0
149,152,2582,Melissa Gold (Earth-616),\/Melissa_Gold_(Earth-616),Secret Identity,0,Green Eyes,Blond Hair,Female Characters,,Living Characters,260.0,Aug-79,1979.0
150,153,2037,Lockheed (Earth-616),\/Lockheed_(Earth-616),Secret Identity,0,,No Hair,Male Characters,,Living Characters,260.0,Feb-83,1983.0
151,154,1935,Mercedes Knight (Earth-616),\/Mercedes_Knight_(Earth-616),Public Identity,0,Brown Eyes,Black Hair,Female Characters,,Living Characters,259.0,Mar-72,1972.0
152,155,2060,Moira Kinross (Earth-616),\/Moira_Kinross_(Earth-616),No Dual Identity,0,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,259.0,Dec-75,1975.0
153,156,1915,Karnak (Earth-616),\/Karnak_(Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,257.0,Dec-65,1965.0
