,Unnamed: 0,name,ID,ALIGN,EYE,HAIR,SEX,ALIVE
94,94,Johann Shmidt (Earth-616),Public Identity,1,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
95,95,Fandral (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
96,96,Sean Cassidy (Earth-616),Secret Identity,0,Green Eyes,Strawberry Blond Hair,Male Characters,Living Characters
97,97,Thomas Raymond (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
98,98,Uatu (Earth-616),Public Identity,0,Blue Eyes,Bald,Male Characters,Deceased Characters
99,99,Richard Rider (Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
100,100,Hogun (Earth-616),Public Identity,0,Grey Eyes,Black Hair,Male Characters,Living Characters
101,101,Raven Darkholme (Earth-616),Secret Identity,1,Yellow Eyes,Red Hair,Female Characters,Living Characters
102,102,Barbara Morse (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
103,103,Blackagar Boltagon (Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
104,104,Brunnhilde (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
105,105,Alison Blaire (Earth-616),Public Identity,0,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters
106,106,Venom (Symbiote) (Earth-616),Known to Authorities Identity,0,Variable Eyes,No Hair,Agender Characters,Living Characters
107,107,John Walker (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
108,108,Greer Grant (Earth-616),Public Identity,0,Green Eyes,Black Hair,Female Characters,Living Characters
109,109,Karla Sofen (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
110,110,William Baker (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
111,111,Sharon Carter (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
112,112,Felicia Hardy (Earth-616),Public Identity,1,,Blond Hair,Female Characters,Living Characters
113,113,Cain Marko (Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,Living Characters
114,114,Monica Rambeau (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Female Characters,Living Characters
115,115,Maria Hill (Earth-616),No Dual Identity,0,Brown Eyes,Black Hair,Female Characters,Living Characters
116,116,Ben Urich (Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
117,117,Heather Douglas (Earth-616),Secret Identity,0,Blue Eyes,Bald,Female Characters,Living Characters
119,119,James Proudstar (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
120,120,Angelica Jones (Earth-616),Known to Authorities Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
121,121,Edward Brock (Earth-616),Public Identity,0,Black Eyes,Blond Hair,Male Characters,Living Characters
122,122,MacDonald Gargan (Earth-616),Secret Identity,1,Brown Eyes,Bald,Male Characters,Living Characters
123,123,Mephisto (Earth-616),No Dual Identity,1,White Eyes,Black Hair,Male Characters,Living Characters
124,124,Tabitha Smith (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
125,125,Jean-Paul Beaubier (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
126,126,Daniel Ketch (Earth-616),Secret Identity,0,Green Eyes,Brown Hair,Male Characters,Living Characters
127,127,Neena Thurman (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
128,128,Wong (Earth-616),No Dual Identity,0,Brown Eyes,Bald,Male Characters,Living Characters
129,129,Thanos (Earth-616),No Dual Identity,1,Red Eyes,No Hair,Male Characters,Living Characters
130,130,Shang-Chi (Earth-616),No Dual Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
131,131,Alicia Masters (Earth-616),No Dual Identity,0,Brown Eyes,Strawberry Blond Hair,Female Characters,Living Characters
132,132,Robert Baldwin (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
133,133,Vance Astrovik (Earth-616),Public Identity,0,Hazel Eyes,Brown Hair,Male Characters,Living Characters
134,134,Wendell Vaughn (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
136,136,Abner Jenkins (Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
137,137,Elektra Natchios (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
138,138,Bullseye (Lester) (Earth-616),Secret Identity,1,Blue Eyes,Blond Hair,Male Characters,Living Characters
139,139,Forge (Earth-616),Public Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
140,140,Virginia Potts (Earth-616),No Dual Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
141,141,Walter Langkowski (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
142,142,Gorgon (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
143,143,James Madrox (Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
144,144,Heimdall (Earth-616),Secret Identity,0,Grey Eyes,Brown Hair,Male Characters,Living Characters
145,145,Theresa Cassidy (Earth-616),Secret Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
146,146,Laura Kinney (Earth-616),Secret Identity,0,Green Eyes,Black Hair,Female Characters,Living Characters
147,147,Arthur Douglas (Earth-616),Secret Identity,0,Blue Eyes,Brown Hair,Male Characters,Living Characters
148,148,Peter Parker (Ben Reilly) (Earth-616),Secret Identity,0,Hazel Eyes,Blond Hair,Male Characters,Deceased Characters
149,149,Warlock (Technarch) (Earth-616),Secret Identity,0,Black Eyes,No Hair,Male Characters,Living Characters
150,150,Kevin Plunder (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
151,151,Leonard Samson (Earth-616),Public Identity,0,Brown Eyes,Green Hair,Male Characters,Deceased Characters
152,152,Melissa Gold (Earth-616),Secret Identity,0,Green Eyes,Blond Hair,Female Characters,Living Characters
153,153,Lockheed (Earth-616),Secret Identity,0,,No Hair,Male Characters,Living Characters
154,154,Mercedes Knight (Earth-616),Public Identity,0,Brown Eyes,Black Hair,Female Characters,Living Characters
155,155,Moira Kinross (Earth-616),No Dual Identity,0,Blue Eyes,Brown Hair,Female Characters,Deceased Characters
156,156,Karnak (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,Deceased Characters
157,157,Namorita Prentiss (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,Deceased Characters
158,158,Lockjaw (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
159,159,Adam Warlock (Earth-616),No Dual Identity,0,White Eyes,Gold Hair,Male Characters,Living Characters
160,160,Heather McNeil (Earth-616),Public Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
161,161,Curtis Connors (Earth-616),Public Identity,0,Red Eyes,No Hair,Male Characters,Living Characters
162,162,Theodore Sallis (Earth-616),Secret Identity,0,Red Eyes,No Hair,Male Characters,Living Characters
163,163,Adrian Toomes (Earth-616),Public Identity,1,Hazel Eyes,Bald,Male Characters,Living Characters
164,164,Amora (Earth-616),Public Identity,1,Green Eyes,Blond Hair,Female Characters,Living Characters
165,165,Clea (Earth-616),No Dual Identity,0,Blue Eyes,White Hair,Female Characters,Living Characters
166,166,Mar-Vell (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
167,167,Eugene Judd (Earth-616),Public Identity,0,Brown Eyes,Bald,Male Characters,Living Characters
168,168,Daimon Hellstrom (Earth-616),No Dual Identity,0,Red Eyes,Red Hair,Male Characters,Living Characters
169,169,John Jonah Jameson III (Earth-616),No Dual Identity,0,Brown Eyes,Auburn Hair,Male Characters,Living Characters
170,170,Triton (Earth-616),No Dual Identity,0,Green Eyes,No Hair,Male Characters,Living Characters
171,171,Meggan Puceanu (Earth-616),Secret Identity,0,,,Female Characters,Living Characters
172,172,Robert Reynolds (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
173,173,Aleksei Sytsevich (Earth-616),Secret Identity,1,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
174,174,Santo Vaccarro (Earth-616),Secret Identity,0,White Eyes,No Hair,Male Characters,Living Characters
175,175,Jonathan Clay (Earth-616),Secret Identity,0,Blue Eyes,Red Hair,Male Characters,Living Characters
176,176,Ares (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
177,177,Sersi (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
178,178,Guido Carosella (Earth-616),Secret Identity,0,Brown Eyes,Bald,Male Characters,Living Characters
179,179,Zabu (Earth-616),Public Identity,0,Green Eyes,Orange Hair,Male Characters,Living Characters
180,180,Michael Morbius (Earth-616),Secret Identity,0,Red Eyes,Black Hair,Male Characters,Living Characters
181,181,Julio Richter (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
182,182,Phoenix Force (Earth-616),Secret Identity,0,,No Hair,,Deceased Characters
183,183,Megan Gwynn (Earth-616),Public Identity,0,Black Eyeballs,Pink Hair,Female Characters,Living Characters
184,184,Kyle Richmond (Earth-616),Secret Identity,0,Brown Eyes,Auburn Hair,Male Characters,Living Characters
185,185,Karen Page (Earth-616),No Dual Identity,0,Blue Eyes,Blond Hair,Female Characters,Deceased Characters
186,186,Tyrone Johnson (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
187,187,Maxwell Dillon (Earth-616),Public Identity,1,Blue Eyes,Auburn Hair,Male Characters,Living Characters
188,188,Valerie Cooper (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
189,189,Anna May (Earth-616),No Dual Identity,0,Blue Eyes,White Hair,Female Characters,Living Characters
190,190,Vlad Dracula (Earth-616),No Dual Identity,1,Red Eyes,White Hair,Male Characters,Living Characters
191,191,Tandy Bowen (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
192,192,Monet St. Croix (Earth-616),No Dual Identity,0,Brown Eyes,Black Hair,Female Characters,Living Characters
193,193,Gamora (Earth-616),No Dual Identity,0,Yellow Eyes,Black Hair,Female Characters,Living Characters
194,194,Amara Aquilla (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
195,195,Julia Carpenter (Earth-616),Secret Identity,0,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters
196,196,Jane Foster (Earth-616),No Dual Identity,0,Blue Eyes,Brown Hair,Female Characters,Living Characters
197,197,Mortimer Toynbee (Earth-616),Secret Identity,0,Black Eyes,Brown Hair,Male Characters,Living Characters
198,198,Scott Lang (Earth-616),Public Identity,0,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters
199,199,Paige Guthrie (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
200,200,Benjamin Parker (Earth-616),No Dual Identity,0,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
201,201,Erik Josten (Earth-616),Secret Identity,0,Brown Eyes,Red Hair,Male Characters,Living Characters
202,202,Jeanne-Marie Beaubier (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
203,203,Carl Creel (Earth-616),Public Identity,1,Blue Eyes,Bald,Male Characters,Living Characters
205,205,Michael Twoyoungmen (Earth-616),Public Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
206,206,Hope Summers (Earth-616),Secret Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
207,207,Eric Masterson (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Deceased Characters
208,208,Alexander Power (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
209,209,Matthew Hawk (Earth-616),Secret Identity,0,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
210,210,Jessica Jones (Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Female Characters,Living Characters
211,211,Frederick Dukes (Earth-616),Public Identity,1,Brown Eyes,Brown Hair,Male Characters,Living Characters
212,212,Eric Brooks (Earth-616),Public Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
213,213,Eros (Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,Living Characters
214,214,Madison Jeffries (Earth-616),No Dual Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
215,215,Mandarin (Earth-616),Secret Identity,1,Blue Eyes,Black Hair,Male Characters,Deceased Characters
216,216,The Wizard (Earth-616),Public Identity,1,Hazel Eyes,Brown Hair,Male Characters,Living Characters
217,217,Akihiro (Earth-616),Secret Identity,1,Blue Eyes,Black Hair,Male Characters,Living Characters
218,218,Sergei Kravinoff (Earth-616),Public Identity,1,Brown Eyes,Black Hair,Male Characters,Deceased Characters
219,219,Jonothon Starsmore (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
220,220,Helmut Zemo (Earth-616),Public Identity,1,Blue Eyes,Blond Hair,Male Characters,Living Characters
221,221,Victor Borkowski (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
222,222,Edward Leeds (Earth-616),Secret Identity,0,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
223,223,Ultron (Earth-616),No Dual Identity,1,Red Eyes,No Hair,Male Characters,Deceased Characters
224,224,Douglas Ramsey (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
225,225,Quentin Beck (Earth-616),Secret Identity,1,Blue Eyes,Bald,Male Characters,Living Characters
226,226,Herbert Wyndham (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
227,227,Julian Keller (Earth-616),Public Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
228,228,Jack Russell (Earth-616),Secret Identity,0,Blue Eyes,Red Hair,Male Characters,Living Characters
229,229,Celeste Cuckoo (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
230,230,Valentina Allegra de Fontaine (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
231,231,Ophelia Sarkissian (Earth-616),Secret Identity,1,Green Eyes,Black Hair,Female Characters,Living Characters
232,232,Colleen Wing (Earth-616),Public Identity,0,Blue Eyes,Auburn Hair,Female Characters,Living Characters
233,233,Irma Cuckoo (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
234,234,Sebastian Shaw (Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
235,235,Phoebe Cuckoo (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
236,236,Sage (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
237,237,Valeria Richards (Earth-616),No Dual Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
238,238,Donald Blake (Earth-616),No Dual Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
239,239,Hela (Earth-616),Secret Identity,1,Green Eyes,Black Hair,Female Characters,Deceased Characters
240,240,Lilandra Neramani (Earth-616),No Dual Identity,0,Orange Eyes,Black Hair,Female Characters,Deceased Characters
241,241,Henry Gyrich (Earth-616),No Dual Identity,1,Green Eyes,Red Hair,Male Characters,Living Characters
242,242,Dwayne Taylor (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,Deceased Characters
243,243,Harold Hogan (Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Male Characters,Deceased Characters
245,245,Christopher Powell (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
246,246,Harvey Elder (Earth-616),Secret Identity,1,Brown Eyes,Grey Hair,Male Characters,Living Characters
247,247,Wolfgang von Strucker (Earth-616),Public Identity,1,Blue Eyes,Bald,Male Characters,Deceased Characters
248,248,Dirk Garthwaite (Earth-616),Secret Identity,1,Blue Eyes,Brown Hair,Male Characters,Living Characters
249,249,Pip Gofern (Earth-616),Secret Identity,0,Green Eyes,Red Hair,Male Characters,Living Characters
250,250,Tony Masters (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
251,251,David Lieberman (Earth-616),Secret Identity,0,Green Eyes,Brown Hair,Male Characters,Deceased Characters
252,252,James Hudson (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
253,253,Miles Warren (Earth-616),Secret Identity,1,Green Eyes,No Hair,Male Characters,Living Characters
254,254,Kallark (Earth-616),Public Identity,0,Blue Eyes,Blue Hair,Male Characters,Living Characters
255,255,En Sabah Nur (Earth-616),Public Identity,1,Red Eyes,Black Hair,Male Characters,Deceased Characters
256,256,Shiro Yoshida (Earth-616),Public Identity,0,Black Eyes,Black Hair,Male Characters,Living Characters
257,257,Silver Sablinova (Earth-616),Secret Identity,0,Blue Eyes,Silver Hair,Female Characters,Deceased Characters
258,258,Elvin Haliday (Earth-616),Secret Identity,0,Brown Eyes,Bald,Male Characters,Living Characters
259,259,James Bradley (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
260,260,Calvin Zabo (Earth-616),Secret Identity,1,Brown Eyes,Brown Hair,Male Characters,Living Characters
261,261,Frederick Myers (Earth-616),Secret Identity,1,Brown Eyes,Brown Hair,Male Characters,Living Characters
262,262,Mantis (Earth-616),Secret Identity,0,Green Eyes,Black Hair,Female Characters,Living Characters
263,263,Marlene Alraune (Earth-616),No Dual Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
